,name,link,rate,location,h_id
53,The Montcalm At The Brewery London City,https://www.tripadvisor.fr/Hotel_Review-g186338-d2048999-Reviews-The_Montcalm_At_The_Brewery_London_City-London_England.html,"4,5","52 Chiswell Street, Londres EC1Y 4SA Angleterre",1863382048999
54,Travelodge London Richmond Central,https://www.tripadvisor.fr/Hotel_Review-g11878701-d8764118-Reviews-Travelodge_London_Richmond_Central-Richmond_Richmond_upon_Thames_Greater_London_Engl.html,"4,0","9 Paradise Road, Richmond, Richmond-upon-Thames TW9 1RX Angleterre",118787018764118
55,Hotel Rose Bourbon,https://www.tripadvisor.fr/Hotel_Review-g187147-d13646431-Reviews-Hotel_Rose_Bourbon-Paris_Ile_de_France.html,"4,5","53 rue de l Eglise, 75015 Paris France",18714713646431
56,Le Mareuil,https://www.tripadvisor.fr/Hotel_Review-g187147-d264828-Reviews-Le_Mareuil-Paris_Ile_de_France.html,"4,5","51 rue de Malte, 75011 Paris France",187147264828
57,Hampton by Hilton Paris Clichy,https://www.tripadvisor.fr/Hotel_Review-g608772-d15617939-Reviews-Hampton_by_Hilton_Paris_Clichy-Clichy_Hauts_de_Seine_Ile_de_France.html,"4,0","7 boulevard du General Leclerc, 92110 Clichy France",60877215617939
58,Hilton Paris Charles de Gaulle Airport,https://www.tripadvisor.fr/Hotel_Review-g226863-d207761-Reviews-Hilton_Paris_Charles_de_Gaulle_Airport-Tremblay_En_France_Seine_Saint_Denis_Ile_de_Fran.html,"3,5","Roissypole, Rue de Rome, BP16461, 95708 Tremblay-en-France France",226863207761
59,Innside by Melia Paris Charles de Gaulle,https://www.tripadvisor.fr/Hotel_Review-g196587-d15321060-Reviews-Innside_by_Melia_Paris_Charles_de_Gaulle-Roissy_en_France_Val_d_Oise_Ile_de_France.html,"4,0","9 rue du Voyageur Roissy Pôle Ouest 9 rue du Voyageur Roissy Pole Ouest, 95700 Roissy-en-France France",19658715321060
60,Hotel Colon Gran Melia - The Leading Hotels of the World,https://www.tripadvisor.fr/Hotel_Review-g187443-d191204-Reviews-Hotel_Colon_Gran_Melia_The_Leading_Hotels_of_the_World-Seville_Province_of_Seville_Anda.html,"4,5","Canalejas, 1, 41001 Séville Espagne",187443191204
61,Hilton Budapest,https://www.tripadvisor.fr/Hotel_Review-g274887-d276362-Reviews-Hilton_Budapest-Budapest_Central_Hungary.html,"4,5","Hess András tér 1, Budapest 1014 Hongrie",274887276362
62,Hôtel Château Frontenac,https://www.tripadvisor.fr/Hotel_Review-g187147-d228854-Reviews-Hotel_Chateau_Frontenac-Paris_Ile_de_France.html,"4,5","54 rue Pierre Charron, 75008 Paris France",187147228854
63,Maison Astor Paris,https://www.tripadvisor.fr/Hotel_Review-g187147-d229443-Reviews-Maison_Astor_Paris_Curio_Collection_by_Hilton-Paris_Ile_de_France.html,"4,5","11 Rue d'Astorg 8th Arr., 75008 Paris France",187147229443
64,Hôtel Bourgogne & Montana,https://www.tripadvisor.fr/Hotel_Review-g187147-d229526-Reviews-Hotel_Bourgogne_Montana-Paris_Ile_de_France.html,"4,5","3 rue de Bourgogne 7th Arr., 75007 Paris France",187147229526
65,Innside by Melia Paris Charles de Gaulle,https://www.tripadvisor.fr/Hotel_Review-g196587-d15321060-Reviews-Innside_by_Melia_Paris_Charles_de_Gaulle-Roissy_en_France_Val_d_Oise_Ile_de_France.html,"4,0","9 rue du Voyageur Roissy Pôle Ouest 9 rue du Voyageur Roissy Pole Ouest, 95700 Roissy-en-France France",19658715321060
66,Hilton Budapest,https://www.tripadvisor.fr/Hotel_Review-g274887-d276362-Reviews-Hilton_Budapest-Budapest_Central_Hungary.html,"4,5","Hess András tér 1, Budapest 1014 Hongrie",274887276362
67,Hotel Indigo Paris - Opera,https://www.tripadvisor.fr/Hotel_Review-g187147-d6925750-Reviews-Hotel_Indigo_Paris_Opera-Paris_Ile_de_France.html,"4,5","2 Rue Edouard VII, 75009 Paris France",1871476925750
68,El Palace Hotel,https://www.tripadvisor.fr/Hotel_Review-g187497-d190617-Reviews-El_Palace_Hotel-Barcelona_Catalonia.html,"4,5","Gran Via de les Corts Catalanes, 668, 08010 Barcelone Espagne",187497190617
69,Park Hyatt Paris - Vendôme,https://www.tripadvisor.fr/Hotel_Review-g187147-d250928-Reviews-Park_Hyatt_Paris_Vendome-Paris_Ile_de_France.html,"4,5","5 rue de la Paix, 75002 Paris France",187147250928
70,Crowne Plaza Amsterdam South,https://www.tripadvisor.fr/Hotel_Review-g188590-d2165279-Reviews-Crowne_Plaza_Amsterdam_South-Amsterdam_North_Holland_Province.html,"4,5","George Gershwinlaan 101, 1082 MT Amsterdam Pays-Bas",1885902165279
